"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","2597","20160101","2.6","3","0"
"TXK_MN004","2597","20160102","1.1","3","0"
"TXK_MN004","2597","20160103","0.2","3","0"
"TXK_MN004","2597","20160104","-0.5","3","0"
"TXK_MN004","2597","20160105","1","3","0"
"TXK_MN004","2597","20160106","1.8","3","0"
"TXK_MN004","2597","20160107","5.7","3","0"
"TXK_MN004","2597","20160108","5.8","3","0"
"TXK_MN004","2597","20160109","1.8","3","0"
"TXK_MN004","2597","20160110","6.2","3","0"
"TXK_MN004","2597","20160111","5.2","3","0"
"TXK_MN004","2597","20160112","5.7","3","0"
"TXK_MN004","2597","20160113","5.2","3","0"
"TXK_MN004","2597","20160114","4.1","3","0"
"TXK_MN004","2597","20160115","2.4","3","0"
"TXK_MN004","2597","20160116","0.8","3","0"
"TXK_MN004","2597","20160117","-0.1","3","0"
"TXK_MN004","2597","20160118","-6.3","3","0"
"TXK_MN004","2597","20160119","-7.3","3","0"
"TXK_MN004","2597","20160120","-1","3","0"
"TXK_MN004","2597","20160121","-1.9","3","0"
"TXK_MN004","2597","20160122","-4.7","3","0"
"TXK_MN004","2597","20160123","3.4","3","0"
"TXK_MN004","2597","20160124","2.4","3","0"
"TXK_MN004","2597","20160125","6.5","3","0"
"TXK_MN004","2597","20160126","9.7","3","0"
"TXK_MN004","2597","20160127","12.9","3","0"
"TXK_MN004","2597","20160128","12","3","0"
"TXK_MN004","2597","20160129","8.2","3","0"
"TXK_MN004","2597","20160130","7.3","3","0"
"TXK_MN004","2597","20160131","9.4","3","0"
"TXK_MN004","2597","20160201","11.8","3","0"
"TXK_MN004","2597","20160202","11.1","3","0"
"TXK_MN004","2597","20160203","6","3","0"
"TXK_MN004","2597","20160204","3.2","3","0"
"TXK_MN004","2597","20160205","5.1","3","0"
"TXK_MN004","2597","20160206","9.1","3","0"
"TXK_MN004","2597","20160207","8.1","3","0"
"TXK_MN004","2597","20160208","8.6","3","0"
"TXK_MN004","2597","20160209","9.3","3","0"
"TXK_MN004","2597","20160210","4.2","3","0"
"TXK_MN004","2597","20160211","5.7","3","0"
"TXK_MN004","2597","20160212","6.2","3","0"
"TXK_MN004","2597","20160213","2.6","3","0"
"TXK_MN004","2597","20160214","6.5","3","0"
"TXK_MN004","2597","20160215","5.2","3","0"
"TXK_MN004","2597","20160216","1.4","3","0"
"TXK_MN004","2597","20160217","1.6","3","0"
"TXK_MN004","2597","20160218","6.1","3","0"
"TXK_MN004","2597","20160219","1.8","3","0"
"TXK_MN004","2597","20160220","8.5","3","0"
"TXK_MN004","2597","20160221","11.5","3","0"
"TXK_MN004","2597","20160222","11.1","3","0"
"TXK_MN004","2597","20160223","4.1","3","0"
"TXK_MN004","2597","20160224","5","3","0"
"TXK_MN004","2597","20160225","4.5","3","0"
"TXK_MN004","2597","20160226","3","3","0"
"TXK_MN004","2597","20160227","6.3","3","0"
"TXK_MN004","2597","20160228","4.8","3","0"
"TXK_MN004","2597","20160229","2.7","3","0"
"TXK_MN004","2597","20160301","5.3","3","0"
"TXK_MN004","2597","20160302","6.2","3","0"
"TXK_MN004","2597","20160303","5.3","3","0"
"TXK_MN004","2597","20160304","6.6","3","0"
"TXK_MN004","2597","20160305","6.2","3","0"
"TXK_MN004","2597","20160306","4.4","3","0"
"TXK_MN004","2597","20160307","4.3","3","0"
"TXK_MN004","2597","20160308","5.4","3","0"
"TXK_MN004","2597","20160309","6.5","3","0"
"TXK_MN004","2597","20160310","8.6","3","0"
"TXK_MN004","2597","20160311","7.9","3","0"
"TXK_MN004","2597","20160312","4.7","3","0"
"TXK_MN004","2597","20160313","8.5","3","0"
"TXK_MN004","2597","20160314","8","3","0"
"TXK_MN004","2597","20160315","6.9","3","0"
"TXK_MN004","2597","20160316","7.5","3","0"
"TXK_MN004","2597","20160317","12.5","3","0"
"TXK_MN004","2597","20160318","14.8","3","0"
"TXK_MN004","2597","20160319","6.1","3","0"
"TXK_MN004","2597","20160320","6.1","3","0"
"TXK_MN004","2597","20160321","9","3","0"
"TXK_MN004","2597","20160322","8.5","3","0"
"TXK_MN004","2597","20160323","9.9","3","0"
"TXK_MN004","2597","20160324","10.2","3","0"
"TXK_MN004","2597","20160325","6.5","3","0"
"TXK_MN004","2597","20160326","11.7","3","0"
"TXK_MN004","2597","20160327","10.3","3","0"
"TXK_MN004","2597","20160328","12.5","3","0"
"TXK_MN004","2597","20160329","11.5","3","0"
"TXK_MN004","2597","20160330","10","3","0"
"TXK_MN004","2597","20160331","10.4","3","0"
"TXK_MN004","2597","20160401","10.3","3","0"
"TXK_MN004","2597","20160402","16.8","3","0"
"TXK_MN004","2597","20160403","20.2","3","0"
"TXK_MN004","2597","20160404","19.8","3","0"
"TXK_MN004","2597","20160405","17.4","3","0"
"TXK_MN004","2597","20160406","14.5","3","0"
"TXK_MN004","2597","20160407","11.5","3","0"
